country,score,gdp,social,health,freedom,generosity,trust,year,iso_alpha,region,sub_region,dystopia_residual
Ecuador,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809,2015,ECU,Americas,Latin America and the Caribbean,2.5391500000000002
Bahrain,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306,2015,BHR,Asia,Western Asia,1.7382999999999997
Italy,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901,2015,ITA,Europe,Southern Europe,2.0250300000000006
Bolivia,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088,2015,BOL,Americas,Latin America and the Caribbean,2.8235599999999996
Moldova,5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615,2015,MDA,Europe,Eastern Europe,3.1071400000000002
Paraguay,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242,2015,PRY,Americas,Latin America and the Caribbean,2.18859
Kazakhstan,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454,2015,KAZ,Asia,Central Asia,2.2470700000000003
Slovenia,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787,2015,SVN,Europe,Southern Europe,1.6161000000000003
Lithuania,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031,2015,LTU,Europe,Northern Europe,2.4469000000000003
Nicaragua,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317,2015,NIC,Americas,Latin America and the Caribbean,2.3237000000000005
Peru,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,2015,PER,Americas,Latin America and the Caribbean,2.59438
Belarus,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,2015,BLR,Europe,Eastern Europe,2.1313700000000004
Poland,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,2015,POL,Europe,Eastern Europe,1.8660100000000002
Malaysia,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,2015,MYS,Asia,South-eastern Asia,1.8849699999999991
Croatia,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,2015,HRV,Europe,Southern Europe,2.7546
Libya,5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023,2015,LBY,Africa,Northern Africa,2.0902699999999994
Russia,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,2015,RUS,Europe,Eastern Europe,2.2741000000000002
Jamaica,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299,2015,JAM,Americas,Latin America and the Caribbean,2.32048
North Cyprus,5.695,1.20806,1.07008,0.92356,0.49027,0.26169,0.1428,2015,CYP,Asia,Western Asia,1.5985400000000007
Cyprus,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146,2015,CYP,Asia,Western Asia,1.8895700000000004
Algeria,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,2015,DZA,Africa,Northern Africa,2.4324900000000005
Kosovo,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741,2015,XKX,Europe,Southern Europe,2.76622
Turkmenistan,5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,2015,TKM,Asia,Central Asia,1.8696599999999997
Mauritius,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521,2015,MUS,Africa,Sub-Saharan Africa,1.7613700000000003
Hong Kong,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,2015,HKG,Asia,Eastern Asia,0.6544000000000008
Estonia,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,2015,EST,Europe,Northern Europe,1.5882200000000002
Indonesia,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0.0,2015,IDN,Asia,South-eastern Asia,1.8642599999999998
Vietnam,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,2015,VNM,Asia,South-eastern Asia,2.20137
Turkey,5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,2015,TUR,Asia,Western Asia,2.0848400000000002
