country,score,gdp,social,health,freedom,generosity,trust,year,iso_alpha,region,sub_region,dystopia_residual
Kazakhstan,5.81899976730347,1.28455626964569,1.38436901569366,0.606041550636292,0.437454283237457,0.201964423060417,0.119282886385918,2017,KAZ,Asia,Central Asia,1.7853313386440366
North Cyprus,5.80999994277954,1.3469113111496,1.18630337715149,0.834647238254547,0.471203625202179,0.266845703125,0.155353352427483,2017,CYP,Asia,Western Asia,1.5487353354692415
Slovenia,5.75799989700317,1.3412059545517,1.45251882076263,0.790828227996826,0.572575807571411,0.242649093270302,0.0451289787888527,2017,SVN,Europe,Southern Europe,1.3130930140614483
Peru,5.71500015258789,1.03522527217865,1.21877038478851,0.630166113376617,0.450002878904343,0.126819714903831,0.0470490865409374,2017,PER,Americas,Latin America and the Caribbean,2.206966701895001
Mauritius,5.62900018692017,1.18939554691315,1.20956099033356,0.638007462024689,0.491247326135635,0.360933750867844,0.0421815551817417,2017,MUS,Africa,Sub-Saharan Africa,1.6976735554635494
Cyprus,5.62099981307983,1.35593807697296,1.13136327266693,0.84471470117569,0.355111539363861,0.271254301071167,0.0412379764020443,2017,CYP,Asia,Western Asia,1.621379945427178
Estonia,5.61100006103516,1.32087934017181,1.47667109966278,0.695168316364288,0.479131430387497,0.0988908112049103,0.183248922228813,2017,EST,Europe,Northern Europe,1.3570101410150608
Belarus,5.56899976730347,1.15655755996704,1.44494521617889,0.637714266777039,0.295400261878967,0.15513750910759,0.156313821673393,2017,BLR,Europe,Eastern Europe,1.7229311317205518
Libya,5.52500009536743,1.10180306434631,1.35756433010101,0.520169019699097,0.465733230113983,0.152073666453362,0.0926102101802826,2017,LBY,Africa,Northern Africa,1.835046574473385
Turkey,5.5,1.19827437400818,1.33775317668915,0.637605607509613,0.300740599632263,0.0466930419206619,0.0996715798974037,2017,TUR,Asia,Western Asia,1.879261620342728
Paraguay,5.49300003051758,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,2017,PRY,Americas,Latin America and the Caribbean,1.6852027773857108
"Hong Kong S.A.R., China",5.47200012207031,1.55167484283447,1.26279091835022,0.943062424659729,0.490968644618988,0.374465793371201,0.293933749198914,2017,HKG,Asia,Eastern Asia,0.555103749036788
Philippines,5.42999982833862,0.85769921541214,1.25391757488251,0.468009054660797,0.585214674472809,0.193513423204422,0.0993318930268288,2017,PHL,Asia,South-eastern Asia,1.9723139926791138
Serbia,5.39499998092651,1.06931757926941,1.25818979740143,0.65078467130661,0.208715528249741,0.220125883817673,0.0409037806093693,2017,SRB,Europe,Southern Europe,1.9469627402722764
Jordan,5.33599996566772,0.991012394428253,1.23908889293671,0.604590058326721,0.418421149253845,0.172170460224152,0.11980327218771,2017,JOR,Asia,Western Asia,1.7909137383103286
Hungary,5.32399988174438,1.2860119342804,1.34313309192657,0.687763452529907,0.175863519310951,0.0784016624093056,0.0366369374096394,2017,HUN,Europe,Eastern Europe,1.7161892838776067
Jamaica,5.31099987030029,0.925579309463501,1.36821806430817,0.641022384166718,0.474307239055634,0.233818337321281,0.0552677810192108,2017,JAM,Americas,Latin America and the Caribbean,1.6127867549657755
Croatia,5.29300022125244,1.22255623340607,0.96798300743103,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946,2017,HRV,Europe,Southern Europe,1.854294080287214
Kosovo,5.27899980545044,0.951484382152557,1.13785350322723,0.541452050209045,0.260287940502167,0.319931447505951,0.0574716180562973,2017,XKX,Europe,Southern Europe,2.010518863797193
China,5.27299976348877,1.08116579055786,1.16083741188049,0.741415500640869,0.472787708044052,0.0288068410009146,0.0227942746132612,2017,CHN,Asia,Eastern Asia,1.7651922367513233
Pakistan,5.26900005340576,0.72688353061676,0.672690689563751,0.402047783136368,0.23521526157856,0.315446019172668,0.124348066747189,2017,PAK,Asia,Southern Asia,2.7923687025904638
Indonesia,5.26200008392334,0.995538592338562,1.27444469928741,0.492345720529556,0.443323463201523,0.611704587936401,0.0153171354904771,2017,IDN,Asia,South-eastern Asia,1.429325885139411
Venezuela,5.25,1.12843120098114,1.43133759498596,0.617144227027893,0.153997123241425,0.0650196298956871,0.0644911229610443,2017,VEN,Americas,Latin America and the Caribbean,1.7895791009068507
Montenegro,5.23699998855591,1.12112903594971,1.23837649822235,0.667464673519135,0.194989055395126,0.197911024093628,0.0881741940975189,2017,MNE,Europe,Southern Europe,1.7289555072784424
Morocco,5.2350001335144,0.878114581108093,0.774864435195923,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896,2017,MAR,Africa,Northern Africa,2.456178978085514
Azerbaijan,5.23400020599365,1.15360176563263,1.15240025520325,0.540775775909424,0.398155838251114,0.0452693402767181,0.180987507104874,2017,AZE,Asia,Western Asia,1.7628097236156397
Dominican Republic,5.23000001907349,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,2017,DOM,Americas,Latin America and the Caribbean,1.3198327943682702
Greece,5.22700023651123,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0.0,0.04328977689147,2017,GRC,Europe,Southern Europe,1.7488782517611954
Lebanon,5.22499990463257,1.07498753070831,1.12962424755096,0.735081076622009,0.288515985012054,0.264450758695602,0.037513829767704,2017,LBN,Asia,Western Asia,1.6948264762759306
Portugal,5.19500017166138,1.3151752948761,1.36704301834106,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399,2017,PRT,Europe,Southern Europe,1.1075008530169788
Bosnia and Herzegovina,5.18200016021729,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.328867495059967,0.0,2017,BIH,Europe,Southern Europe,1.8917978256940886
Honduras,5.18100023269653,0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,0.236188873648643,0.0733454525470734,2017,HND,Americas,Latin America and the Caribbean,2.0662984699010805
Macedonia,5.17500019073486,1.06457793712616,1.20789301395416,0.644948184490204,0.325905978679657,0.25376096367836,0.0602777935564518,2017,MKD,Europe,Southern Europe,1.6176363192498675
Somalia,5.15100002288818,0.0226431842893362,0.721151351928711,0.113989137113094,0.602126955986023,0.291631311178207,0.282410323619843,2017,SOM,Africa,Eastern Africa,3.1170477587729657
Vietnam,5.07399988174438,0.788547575473785,1.27749133110046,0.652168989181519,0.571055591106415,0.234968051314354,0.0876332372426987,2017,VNM,Asia,South-eastern Asia,1.4621351063251486
Nigeria,5.07399988174438,0.783756256103516,1.21577048301697,0.0569157302379608,0.394952565431595,0.230947196483612,0.0261215660721064,2017,NGA,Africa,Sub-Saharan Africa,2.36553608439862
Tajikistan,5.04099988937378,0.524713635444641,1.27146327495575,0.529235124588013,0.471566706895828,0.248997643589973,0.146377146244049,2017,TJK,Asia,Central Asia,1.8486463576555257
Bhutan,5.01100015640259,0.885416388511658,1.34012651443481,0.495879292488098,0.501537680625916,0.474054545164108,0.173380389809608,2017,BTN,Asia,Southern Asia,1.1406053453683915
Kyrgyzstan,5.00400018692017,0.596220076084137,1.39423859119415,0.553457796573639,0.454943388700485,0.42858037352562,0.0394391790032387,2017,KGZ,Asia,Central Asia,1.5371207818388997
Nepal,4.96199989318848,0.479820191860199,1.17928326129913,0.504130780696869,0.440305948257446,0.394096165895462,0.0729755461215973,2017,NPL,Asia,Southern Asia,1.8913879990577769
Mongolia,4.95499992370605,1.02723586559296,1.4930112361908,0.557783484458923,0.394143968820572,0.338464230298996,0.0329022891819477,2017,MNG,Asia,Eastern Asia,1.1114588491618518
South Africa,4.8289999961853,1.05469870567322,1.38478863239288,0.187080070376396,0.479246735572815,0.139362379908562,0.0725094974040985,2017,ZAF,Africa,Sub-Saharan Africa,1.511313974857328
Tunisia,4.80499982833862,1.00726580619812,0.868351459503174,0.613212049007416,0.289680689573288,0.0496933571994305,0.0867231488227844,2017,TUN,Africa,Northern Africa,1.8900733180344078
Palestinian Territories,4.77500009536743,0.716249227523804,1.15564715862274,0.565666973590851,0.25471106171608,0.114173173904419,0.0892826020717621,2017,PSE,Asia,Western Asia,1.8792698979377733
Egypt,4.7350001335144,0.989701807498932,0.997471392154694,0.520187258720398,0.282110154628754,0.128631442785263,0.114381365478039,2017,EGY,Africa,Northern Africa,1.70251671224832
Bulgaria,4.71400022506714,1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,0.113177694380283,0.0110515309497714,2017,BGR,Europe,Eastern Europe,0.9964830549433841
Sierra Leone,4.70900011062622,0.36842092871666,0.984136044979095,0.0055647538974881,0.318697690963745,0.293040901422501,0.0710951760411263,2017,SLE,Africa,Sub-Saharan Africa,2.6680446146056043
Cameroon,4.69500017166138,0.564305365085602,0.946018218994141,0.132892116904259,0.430388748645782,0.236298456788063,0.0513066314160824,2017,CMR,Africa,Sub-Saharan Africa,2.3337906338274506
Iran,4.69199991226196,1.15687310695648,0.711551249027252,0.639333188533783,0.249322608113289,0.387242913246155,0.048761073499918,2017,IRN,Asia,Southern Asia,1.4989157728850833
Albania,4.64400005340576,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.201312944293022,0.0398642159998417,2017,ALB,Europe,Southern Europe,1.4902865104377248
Bangladesh,4.60799980163574,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.172255352139473,0.123717859387398,2017,BGD,Asia,Southern Asia,1.9786141812801339
Namibia,4.57399988174438,0.964434325695038,1.0984708070755,0.33861181139946,0.520303547382355,0.0771337449550629,0.0931469723582268,2017,NAM,Africa,Sub-Saharan Africa,1.4818986728787378
Kenya,4.55299997329712,0.560479462146759,1.06795072555542,0.309988349676132,0.452763766050339,0.444860309362411,0.0646413192152977,2017,KEN,Africa,Sub-Saharan Africa,1.6523160412907614
Mozambique,4.55000019073486,0.234305649995804,0.870701014995575,0.106654435396194,0.480791091918945,0.322228103876114,0.179436385631561,2017,MOZ,Africa,Sub-Saharan Africa,2.355883508920667
Myanmar,4.54500007629395,0.367110550403595,1.12323594093323,0.397522568702698,0.514492034912109,0.838075160980225,0.188816204667091,2017,MMR,Asia,South-eastern Asia,1.115747615695002
Senegal,4.53499984741211,0.479309022426605,1.17969191074371,0.409362852573395,0.377922266721725,0.183468893170357,0.115460447967052,2017,SEN,Africa,Sub-Saharan Africa,1.7897844538092662
Zambia,4.51399993896484,0.636406779289246,1.00318729877472,0.257835894823074,0.461603492498398,0.249580144882202,0.0782135501503944,2017,ZMB,Africa,Sub-Saharan Africa,1.8271727785468057
Iraq,4.49700021743774,1.10271048545837,0.978613197803497,0.501180469989777,0.288555532693863,0.19963726401329,0.107215754687786,2017,IRQ,Asia,Western Asia,1.3190875127911568
Gabon,4.46500015258789,1.1982102394104,1.1556202173233,0.356578588485718,0.312328577041626,0.0437853783369064,0.0760467872023582,2017,GAB,Africa,Sub-Saharan Africa,1.3224303647875812
Ethiopia,4.46000003814697,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,0.312650740146637,0.165455713868141,2017,ETH,Africa,Sub-Saharan Africa,2.0157380849122966
Sri Lanka,4.44000005722046,1.00985014438629,1.25997638702393,0.625130832195282,0.561213254928589,0.490863561630249,0.0736539661884308,2017,LKA,Asia,Southern Asia,0.41931191086768926
Armenia,4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,2017,ARM,Asia,Western Asia,1.5219292622059553
India,4.31500005722046,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,0.231538489460945,0.0922268852591515,2017,IND,Asia,Southern Asia,1.5192262157797813
Mauritania,4.29199981689453,0.648457288742065,1.2720308303833,0.285349279642105,0.0960980430245399,0.201870024204254,0.136957004666328,2017,MRT,Africa,Sub-Saharan Africa,1.6512373462319383
Congo (Brazzaville),4.29099988937378,0.808964252471924,0.832044363021851,0.28995743393898,0.435025870800018,0.120852127671242,0.0796181336045265,2017,COG,Africa,Sub-Saharan Africa,1.7245377078652386
Georgia,4.28599977493286,0.950612664222717,0.57061493396759,0.649546980857849,0.309410035610199,0.0540088154375553,0.251666635274887,2017,GEO,Asia,Western Asia,1.5001397095620632
Congo (Kinshasa),4.28000020980835,0.0921023488044739,1.22902345657349,0.191407024860382,0.235961347818375,0.246455833315849,0.0602413564920425,2017,COD,Africa,Sub-Saharan Africa,2.224808841943737
Mali,4.19000005722046,0.476180493831635,1.28147339820862,0.169365674257278,0.306613743305206,0.183354198932648,0.104970246553421,2017,MLI,Africa,Sub-Saharan Africa,1.668042302131652
Ivory Coast,4.17999982833862,0.603048920631409,0.904780030250549,0.0486421696841717,0.447706192731857,0.201237469911575,0.130061775445938,2017,CIV,Africa,Sub-Saharan Africa,1.8445232696831209
Cambodia,4.16800022125244,0.601765096187592,1.00623834133148,0.429783403873444,0.633375823497772,0.385922968387604,0.0681059509515762,2017,KHM,Asia,South-eastern Asia,1.042808637022972
Sudan,4.13899993896484,0.65951669216156,1.21400856971741,0.290920823812485,0.0149958552792668,0.182317450642586,0.089847519993782,2017,SDN,Africa,Northern Africa,1.68739302735775
Ghana,4.11999988555908,0.667224824428558,0.873664736747742,0.295637726783752,0.423026293516159,0.256923943758011,0.0253363698720932,2017,GHA,Africa,Sub-Saharan Africa,1.578185990452765
Ukraine,4.09600019454956,0.89465194940567,1.39453756809235,0.575903952121735,0.122974775731564,0.270061463117599,0.0230294708162546,2017,UKR,Europe,Eastern Europe,0.814841015264387
Uganda,4.08099985122681,0.381430715322495,1.12982773780823,0.217632606625557,0.443185955286026,0.325766056776047,0.057069718837738,2017,UGA,Africa,Sub-Saharan Africa,1.5260870605707177
Burkina Faso,4.03200006484985,0.3502277135849,1.04328000545502,0.215844258666039,0.324367851018906,0.250864684581757,0.120328105986118,2017,BFA,Africa,Sub-Saharan Africa,1.72708744555711
Niger,4.02799987792969,0.161925330758095,0.993025004863739,0.26850500702858,0.36365869641304,0.228673845529556,0.138572946190834,2017,NER,Africa,Sub-Saharan Africa,1.8736390471458462
Malawi,3.97000002861023,0.233442038297653,0.512568831443787,0.315089583396912,0.466914653778076,0.287170469760895,0.0727116540074348,2017,MWI,Africa,Sub-Saharan Africa,2.0821027979254723
Chad,3.93600010871887,0.438012987375259,0.953855872154236,0.0411347150802612,0.16234202682972,0.216113850474358,0.0535818822681904,2017,TCD,Africa,Sub-Saharan Africa,2.0709587745368454
Zimbabwe,3.875,0.375846534967422,1.08309590816498,0.196763753890991,0.336384207010269,0.189143493771553,0.0953753814101219,2017,ZWE,Africa,Sub-Saharan Africa,1.5983907207846633
Lesotho,3.80800008773804,0.521021246910095,1.19009518623352,0.0,0.390661299228668,0.157497271895409,0.119094640016556,2017,LSO,Africa,Sub-Saharan Africa,1.4296304434537923
Angola,3.79500007629395,0.858428180217743,1.10441195964813,0.0498686656355858,0.0,0.097926490008831,0.0697203353047371,2017,AGO,Africa,Sub-Saharan Africa,1.6146444454789233
Afghanistan,3.79399991035461,0.401477217674255,0.581543326377869,0.180746778845787,0.106179520487785,0.311870932579041,0.0611578300595284,2017,AFG,Asia,Southern Asia,2.1510243043303445
Botswana,3.76600003242493,1.12209415435791,1.22155499458313,0.341755509376526,0.505196332931519,0.0993484482169151,0.0985831990838051,2017,BWA,Africa,Sub-Saharan Africa,0.37746739387512473
Benin,3.65700006484985,0.431085407733917,0.435299843549728,0.209930211305618,0.425962775945663,0.207948461174965,0.0609290152788162,2017,BEN,Africa,Sub-Saharan Africa,1.8858443498611428
Madagascar,3.64400005340576,0.305808693170547,0.913020372390747,0.375223308801651,0.189196765422821,0.208732530474663,0.0672319754958153,2017,MDG,Africa,Sub-Saharan Africa,1.5847864076495157
Haiti,3.6029999256134,0.368610262870789,0.640449821949005,0.277321130037308,0.0303698573261499,0.489203780889511,0.0998721495270729,2017,HTI,Americas,Latin America and the Caribbean,1.6971729230135644
Yemen,3.59299993515015,0.591683447360992,0.93538224697113,0.310080915689468,0.249463722109795,0.104125209152699,0.0567674227058887,2017,YEM,Asia,Western Asia,1.3454969711601774
South Sudan,3.59100008010864,0.39724862575531,0.601323127746582,0.163486003875732,0.147062435746193,0.285670816898346,0.116793513298035,2017,SSD,Africa,Sub-Saharan Africa,1.8794155567884419
Liberia,3.53299999237061,0.119041793048382,0.872117936611176,0.229918196797371,0.332881182432175,0.26654988527298,0.0389482490718365,2017,LBR,Africa,Sub-Saharan Africa,1.6735427491366897
Guinea,3.50699996948242,0.244549930095673,0.791244685649872,0.194129139184952,0.348587512969971,0.264815092086792,0.110937617719173,2017,GIN,Africa,Sub-Saharan Africa,1.552735991775987
Togo,3.49499988555908,0.305444717407227,0.431882530450821,0.247105568647385,0.38042613863945,0.196896150708199,0.0956650152802467,2017,TGO,Africa,Sub-Saharan Africa,1.8375797644257512
Rwanda,3.47099995613098,0.368745893239975,0.945707023143768,0.326424807310104,0.581843852996826,0.252756029367447,0.455220013856888,2017,RWA,Africa,Sub-Saharan Africa,0.5403023362159725
Syria,3.46199989318848,0.777153134346008,0.396102607250214,0.50053334236145,0.0815394446253777,0.493663728237152,0.151347130537033,2017,SYR,Asia,Western Asia,1.0616605058312456
Tanzania,3.34899997711182,0.511135876178741,1.04198980331421,0.364509284496307,0.390017777681351,0.354256361722946,0.0660351067781448,2017,TZA,Africa,Sub-Saharan Africa,0.62105576694012
Burundi,2.90499997138977,0.091622568666935,0.629793584346771,0.151610791683197,0.0599007532000542,0.204435184597969,0.0841479450464249,2017,BDI,Africa,Sub-Saharan Africa,1.683489143848419
Central African Republic,2.69300007820129,0.0,0.0,0.0187726859003305,0.270842045545578,0.280876487493515,0.0565650761127472,2017,CAF,Africa,Sub-Saharan Africa,2.065943783149119
Finland,7.632,1.305,1.592,0.874,0.681,0.202,0.393,2018,FIN,Europe,Northern Europe,2.585
Norway,7.594,1.456,1.582,0.861,0.686,0.286,0.34,2018,NOR,Europe,Northern Europe,2.383000000000001
Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2018,DNK,Europe,Northern Europe,2.3709999999999996
Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2018,ISL,Europe,Northern Europe,2.426
Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2018,CHE,Europe,Western Europe,2.3179999999999996
Netherlands,7.441,1.361,1.488,0.878,0.638,0.333,0.295,2018,NLD,Europe,Western Europe,2.4479999999999995
Canada,7.328,1.33,1.532,0.896,0.653,0.321,0.291,2018,CAN,Americas,Northern America,2.3050000000000006
New Zealand,7.324,1.268,1.601,0.876,0.669,0.365,0.389,2018,NZL,Oceania,Australia and New Zealand,2.1559999999999997
Sweden,7.314,1.355,1.501,0.913,0.659,0.285,0.383,2018,SWE,Europe,Northern Europe,2.218
Australia,7.272,1.34,1.573,0.91,0.647,0.361,0.302,2018,AUS,Oceania,Australia and New Zealand,2.1390000000000002
United Kingdom,7.19,1.244,1.433,0.888,0.464,0.262,0.082,2018,GBR,Europe,Northern Europe,2.817
Austria,7.139,1.341,1.504,0.891,0.617,0.242,0.224,2018,AUT,Europe,Western Europe,2.3200000000000003
Costa Rica,7.072,1.01,1.459,0.817,0.632,0.143,0.101,2018,CRI,Americas,Latin America and the Caribbean,2.9099999999999993
Ireland,6.977,1.448,1.583,0.876,0.614,0.307,0.306,2018,IRL,Europe,Northern Europe,1.843
Germany,6.965,1.34,1.474,0.861,0.586,0.273,0.28,2018,DEU,Europe,Western Europe,2.151
Belgium,6.927,1.324,1.483,0.894,0.583,0.188,0.24,2018,BEL,Europe,Western Europe,2.214999999999999
Luxembourg,6.91,1.576,1.52,0.896,0.632,0.196,0.321,2018,LUX,Europe,Western Europe,1.769000000000001
United States,6.886,1.398,1.471,0.819,0.547,0.291,0.133,2018,USA,Americas,Northern America,2.2270000000000003
Israel,6.814,1.301,1.559,0.883,0.533,0.354,0.272,2018,ISR,Asia,Western Asia,1.912
United Arab Emirates,6.774,2.096,0.776,0.67,0.284,0.186,0.0,2018,ARE,Asia,Western Asia,2.7620000000000005
Czech Republic,6.711,1.233,1.489,0.854,0.543,0.064,0.034,2018,CZE,Europe,Eastern Europe,2.4939999999999998
Malta,6.627,1.27,1.525,0.884,0.645,0.376,0.142,2018,MLT,Europe,Southern Europe,1.7849999999999993
France,6.489,1.293,1.466,0.908,0.52,0.098,0.176,2018,FRA,Europe,Western Europe,2.0280000000000005
Mexico,6.488,1.038,1.252,0.761,0.479,0.069,0.095,2018,MEX,Americas,Latin America and the Caribbean,2.794
Chile,6.476,1.131,1.331,0.808,0.431,0.197,0.061,2018,CHL,Americas,Latin America and the Caribbean,2.5170000000000003
Taiwan,6.441,1.365,1.436,0.857,0.418,0.151,0.078,2018,TWN,Asia,Eastern Asia,2.1359999999999992
Panama,6.43,1.112,1.438,0.759,0.597,0.125,0.063,2018,PAN,Americas,Latin America and the Caribbean,2.3360000000000003
Brazil,6.419,0.986,1.474,0.675,0.493,0.11,0.088,2018,BRA,Americas,Latin America and the Caribbean,2.593
Argentina,6.388,1.073,1.468,0.744,0.57,0.062,0.054,2018,ARG,Americas,Latin America and the Caribbean,2.4170000000000003
Guatemala,6.382,0.781,1.268,0.608,0.604,0.179,0.071,2018,GTM,Americas,Latin America and the Caribbean,2.8709999999999996
Uruguay,6.379,1.093,1.459,0.771,0.625,0.13,0.155,2018,URY,Americas,Latin America and the Caribbean,2.145999999999999
Qatar,6.374,1.649,1.303,0.748,0.654,0.256,0.171,2018,QAT,Asia,Western Asia,1.592999999999999
Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,0.127,2018,SAU,Asia,Western Asia,2.2940000000000005
Singapore,6.343,1.529,1.451,1.008,0.631,0.261,0.457,2018,SGP,Asia,South-eastern Asia,1.0060000000000002
Malaysia,6.322,1.161,1.258,0.669,0.356,0.311,0.059,2018,MYS,Asia,South-eastern Asia,2.508
Spain,6.31,1.251,1.538,0.965,0.449,0.142,0.074,2018,ESP,Europe,Southern Europe,1.891
Colombia,6.26,0.96,1.439,0.635,0.531,0.099,0.039,2018,COL,Americas,Latin America and the Caribbean,2.5569999999999995
Trinidad & Tobago,6.192,1.223,1.492,0.564,0.575,0.171,0.019,2018,TTO,Americas,Latin America and the Caribbean,2.1479999999999997
Slovakia,6.173,1.21,1.537,0.776,0.354,0.118,0.014,2018,SVK,Europe,Eastern Europe,2.1640000000000006
El Salvador,6.167,0.806,1.231,0.639,0.461,0.065,0.082,2018,SLV,Americas,Latin America and the Caribbean,2.883
Nicaragua,6.141,0.668,1.319,0.7,0.527,0.208,0.128,2018,NIC,Americas,Latin America and the Caribbean,2.5909999999999993
Poland,6.123,1.176,1.448,0.781,0.546,0.108,0.064,2018,POL,Europe,Eastern Europe,2.000000000000001
Bahrain,6.105,1.338,1.366,0.698,0.594,0.243,0.123,2018,BHR,Asia,Western Asia,1.7430000000000003
Uzbekistan,6.096,0.719,1.584,0.605,0.724,0.328,0.259,2018,UZB,Asia,Central Asia,1.8770000000000007
Kuwait,6.083,1.474,1.301,0.675,0.554,0.167,0.106,2018,KWT,Asia,Western Asia,1.806
Thailand,6.072,1.016,1.417,0.707,0.637,0.364,0.029,2018,THA,Asia,South-eastern Asia,1.9020000000000001
Italy,6.0,1.264,1.501,0.946,0.281,0.137,0.028,2018,ITA,Europe,Southern Europe,1.8430000000000009
Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,0.12,2018,ECU,Americas,Latin America and the Caribbean,2.2279999999999998
Belize,5.956,0.807,1.101,0.474,0.593,0.183,0.089,2018,BLZ,Americas,Latin America and the Caribbean,2.709000000000001
Lithuania,5.952,1.197,1.527,0.716,0.35,0.026,0.006,2018,LTU,Europe,Northern Europe,2.13
Slovenia,5.948,1.219,1.506,0.856,0.633,0.16,0.051,2018,SVN,Europe,Southern Europe,1.5229999999999997
Romania,5.945,1.116,1.219,0.726,0.528,0.088,0.001,2018,ROU,Europe,Eastern Europe,2.2670000000000003
Latvia,5.933,1.148,1.454,0.671,0.363,0.092,0.066,2018,LVA,Europe,Northern Europe,2.1390000000000002
Japan,5.915,1.294,1.462,0.988,0.553,0.079,0.15,2018,JPN,Asia,Eastern Asia,1.3889999999999993
Mauritius,5.891,1.09,1.387,0.684,0.584,0.245,0.05,2018,MUS,Africa,Sub-Saharan Africa,1.850999999999999
Jamaica,5.89,0.819,1.493,0.693,0.575,0.096,0.031,2018,JAM,Americas,Latin America and the Caribbean,2.1829999999999994
South Korea,5.875,1.266,1.204,0.955,0.244,0.175,0.051,2018,KOR,Asia,Eastern Asia,1.9800000000000004
Northern Cyprus,5.835,1.229,1.211,0.909,0.495,0.179,0.154,2018,CYP,Asia,Western Asia,1.6579999999999995
Russia,5.81,1.151,1.479,0.599,0.399,0.065,0.025,2018,RUS,Europe,Eastern Europe,2.0919999999999996
Kazakhstan,5.79,1.143,1.516,0.631,0.454,0.148,0.121,2018,KAZ,Asia,Central Asia,1.7770000000000001
Cyprus,5.762,1.229,1.191,0.909,0.423,0.202,0.035,2018,CYP,Asia,Western Asia,1.7729999999999997
Bolivia,5.752,0.751,1.223,0.508,0.606,0.141,0.054,2018,BOL,Americas,Latin America and the Caribbean,2.469
Estonia,5.739,1.2,1.532,0.737,0.553,0.086,0.174,2018,EST,Europe,Northern Europe,1.456999999999999
Paraguay,5.681,0.835,1.522,0.615,0.541,0.162,0.074,2018,PRY,Americas,Latin America and the Caribbean,1.932
Peru,5.663,0.934,1.249,0.674,0.53,0.092,0.034,2018,PER,Americas,Latin America and the Caribbean,2.15
Kosovo,5.662,0.855,1.23,0.578,0.448,0.274,0.023,2018,XKX,Europe,Southern Europe,2.254
Moldova,5.64,0.657,1.301,0.62,0.232,0.171,0.0,2018,MDA,Europe,Eastern Europe,2.659
Turkmenistan,5.636,1.016,1.533,0.517,0.417,0.199,0.037,2018,TKM,Asia,Central Asia,1.9170000000000007
Hungary,5.62,1.171,1.401,0.732,0.259,0.061,0.022,2018,HUN,Europe,Eastern Europe,1.9740000000000002
Libya,5.566,0.985,1.35,0.553,0.496,0.116,0.148,2018,LBY,Africa,Northern Africa,1.9179999999999997
Philippines,5.524,0.775,1.312,0.513,0.643,0.12,0.105,2018,PHL,Asia,South-eastern Asia,2.0559999999999996
Honduras,5.504,0.62,1.205,0.622,0.459,0.197,0.074,2018,HND,Americas,Latin America and the Caribbean,2.3269999999999995
Belarus,5.483,1.039,1.498,0.7,0.307,0.101,0.154,2018,BLR,Europe,Eastern Europe,1.6839999999999997
Turkey,5.483,1.148,1.38,0.686,0.324,0.106,0.109,2018,TUR,Asia,Western Asia,1.7300000000000004
Pakistan,5.472,0.652,0.81,0.424,0.334,0.216,0.113,2018,PAK,Asia,Southern Asia,2.923
Hong Kong,5.43,1.405,1.29,1.03,0.524,0.246,0.291,2018,HKG,Asia,Eastern Asia,0.6439999999999984
Portugal,5.41,1.188,1.429,0.884,0.562,0.055,0.017,2018,PRT,Europe,Southern Europe,1.2750000000000004
Serbia,5.398,0.975,1.369,0.685,0.288,0.134,0.043,2018,SRB,Europe,Southern Europe,1.904
Greece,5.358,1.154,1.202,0.879,0.131,0.0,0.044,2018,GRC,Europe,Southern Europe,1.948
Lebanon,5.358,0.965,1.179,0.785,0.503,0.214,0.136,2018,LBN,Asia,Western Asia,1.5759999999999992
Montenegro,5.347,1.017,1.279,0.729,0.259,0.111,0.081,2018,MNE,Europe,Southern Europe,1.8710000000000004
Croatia,5.321,1.115,1.161,0.737,0.38,0.12,0.039,2018,HRV,Europe,Southern Europe,1.7689999999999997
Dominican Republic,5.302,0.982,1.441,0.614,0.578,0.12,0.106,2018,DOM,Americas,Latin America and the Caribbean,1.4609999999999999
Algeria,5.295,0.979,1.154,0.687,0.077,0.055,0.135,2018,DZA,Africa,Northern Africa,2.2079999999999993
Morocco,5.254,0.779,0.797,0.669,0.46,0.026,0.074,2018,MAR,Africa,Northern Africa,2.449
